"","read_nai1","read_nai2","read_nai3","read_eff1","read_eff2","read_tem1","read_tem2","read_tcm1","read_tcm2"
"union_peak_30103",3.22762877,2.912234146,3.292215264,0.211868164,0.196466265,0.32188188,0.385820526,0.820706304,0.948224939
"union_peak_30106",0.6548812,0.380208347,0.331773631,0.765079481,0.749027633,1.497736096,1.421444042,1.838797668,1.594268303
"union_peak_30129",0.643186893,0.283133875,0.280731534,2.518877062,3.032947958,2.81153969,2.771815882,3.054274093,2.78215449
"union_peak_30131",1.110959178,0.995013333,0.927264764,0.306031793,0.31925768,0.564935545,0.710722021,1.329751986,1.00032521
"union_peak_30135",0.08186015,0.137522168,0.085070162,0.506129503,0.785865058,0.77514412,0.700568849,0.43632487,0.437642279
"union_peak_30136",0.315746293,0.33976065,0.246703469,2.695433865,2.56634058,2.758987546,2.061093861,1.807631606,1.844349606
"union_peak_30138",0.116943071,0.202238482,0.17864734,2.048058919,1.829592088,1.432045917,1.380831355,0.664875993,0.833604342
"union_peak_30156",1.251290864,1.245789051,1.267545412,0.282490885,0.135070557,0.229915629,0.243676122,0.363604059,0.552262876
"union_peak_30158",1.520259928,1.545102005,1.386643638,0.105934082,0.073674849,0.118242323,0.111684889,0.727208117,0.656463419
"union_peak_30159",4.911608998,4.077127804,4.449169465,0.482588596,0.405211671,0.610918671,0.487352243,1.101200863,1.21914635
"union_peak_30160",4.888220384,4.58676878,3.938748494,1.565470323,1.338426427,2.180913965,2.11185972,2.098514853,2.136111125
"union_peak_30162",3.80064982,2.653368888,2.781794293,0.753309028,0.552561369,0.735730012,1.025470345,1.236253799,1.271246621
"union_peak_30167",7.367413497,3.826352086,4.253508093,1.671404405,1.571730116,2.568486025,2.578905619,3.968478583,3.865840134
"union_peak_30174",1.029099028,1.100177344,0.995320894,0.612063585,0.503444803,0.308743844,0.406126869,0.851872366,1.00032521
"union_peak_30259",0.140331686,0.129432629,0.127605243,0.812161296,0.712190209,0.880248407,0.76148788,0.727208117,0.916964776
"union_peak_30265",0.561326743,0.606715447,0.365801696,3.460513347,4.481886659,4.046515067,3.391159358,2.420564162,2.70921411
"union_peak_30315",1.999726521,3.20345756,3.428327523,0.341343153,0.405211671,0.118242323,0.213216606,0.446713558,0.458482388
"union_peak_30336",2.90018817,2.159906991,2.713738163,0.553211317,0.466607378,0.302174826,0.335054667,0.685653368,0.833604342
"union_peak_30342",0.198803221,0.145611707,0.042535081,0.659145399,0.552561369,0.072259198,0.162450748,0.862261053,0.864864504
"union_peak_30353",3.122380006,0.865580704,1.020841942,0.176556803,0.294699397,0.105104287,0.101531717,0.425936183,0.489742551
"union_peak_30372",1.765840378,1.26196813,1.190982266,0.223638618,0.306978538,0.249622683,0.263982465,0.831094991,0.729403799
"union_peak_30375",1.169430714,0.728058536,0.75712444,0.058852268,0.049116566,0.006569018,0.101531717,0.135052936,0.083360434
"union_peak_30381",4.326893641,4.546321083,3.828157283,0.717997667,0.650794501,1.753927797,1.918949457,3.210104404,2.229891614
"union_peak_30383",0.502855207,0.833222547,0.748617424,3.119170193,3.180297657,1.596271366,1.553435275,0.924593178,1.177466133
"union_peak_30387",3.742178284,1.892952195,2.024669852,0.470818142,0.31925768,0.262760719,0.284288808,0.685653368,0.687723582
"union_peak_30417",0.783518578,0.501551436,0.527435003,0.929865831,1.056006172,2.115223785,1.81741774,1.807631606,2.042330637
"union_peak_30433",1.204513635,0.792774851,0.791152505,0.035311361,0.135070557,0.091966252,0.111684889,0.363604059,0.375121954
"union_peak_30438",0.24558045,0.242686179,0.187154356,1.02402946,0.859539907,0.381003042,0.487352243,0.685653368,0.718983745
"union_peak_30453",0.233886143,0.396387425,0.170140324,1.836190755,1.805033805,1.051042875,1.279299638,0.706430743,0.646043365
"union_peak_30456",0.73674135,0.550088672,0.510420971,2.977924751,3.425880487,2.180913965,2.853041256,2.015405354,1.865189714
"union_peak_30481",0.947238878,0.776595772,0.842194602,2.907302029,3.032947958,3.475010504,3.563763277,2.358232038,2.78215449
"union_peak_30494",0.187108914,0.194148943,0.127605243,1.659633952,1.915546079,1.537150204,1.908796285,1.475193609,1.104525753
"union_peak_30540",0.140331686,0.169880325,0.127605243,0.753309028,0.72446935,0.87367939,0.903632284,0.394770121,0.416802171
"union_peak_30555",0.152025993,0.088984932,0.068056129,0.847472656,1.141960162,0.70945394,0.82240691,0.342826684,0.29176152
"union_peak_30602",0.304051986,0.331671111,0.212675405,1.447765788,2.099733202,0.991921713,1.167614749,0.903815803,0.844024396
"union_peak_30643",0.315746293,0.250775718,0.17864734,1.247668077,1.141960162,0.834265282,0.649802991,0.747985492,0.646043365
"union_peak_30675",0.116943071,0.056626775,0.093577178,2.565958876,2.492665731,2.995472193,2.568752447,0.602543869,0.844024396
"union_peak_30682",3.96437012,2.337876856,2.518076791,0.482588596,0.663073643,0.374434024,0.670109334,1.205087737,1.604688358
"union_peak_30685",1.1460421,0.930297019,0.850701619,0.317802246,0.208745406,0.302174826,0.223369778,0.228551123,0.239661248
"union_peak_30688",1.099264871,1.003102872,0.961292829,3.27218609,3.855650441,2.305725306,2.304769983,1.350529361,1.531747978
"union_peak_30714",0.070165843,0.072805854,0.085070162,2.059829373,1.706800673,2.207190037,2.63982465,1.236253799,1.239986458
"union_peak_30767",1.438399778,0.91411794,0.893236699,0.36488406,0.098233132,0.118242323,0.23352295,0.28049456,0.302181574
"union_peak_30780",2.046503749,0.938386558,1.063377023,0.058852268,0.073674849,0.144518395,0.172603919,0.384381433,0.385542008
"union_peak_30835",0.689964121,1.14871458,1.088898072,0.753309028,0.454328237,0.361295988,0.253829293,0.353215371,0.343861791
"union_peak_30875",6.338314469,3.826352086,3.964269542,0.200097711,0.257861972,0.525521437,0.720875193,1.277808549,1.677628738
"union_peak_30879",0.73674135,0.970744715,0.910250732,0.282490885,0.171907981,0.197070539,0.223369778,0.394770121,0.562682931
"union_peak_30882",1.812617606,1.504654309,1.590812027,0.376654514,0.270141114,0.433555186,0.517811758,1.038868739,1.062845536
"union_peak_30884",8.653787282,5.411901788,5.623137698,2.636581597,2.88559826,2.266311198,2.304769983,3.958089896,4.626504096
"union_peak_30892",2.116669592,1.391400759,1.327094525,0.388424967,0.368374246,0.42041715,0.497505415,1.19469905,1.07326559
"union_peak_30896",0.268969064,0.161790786,0.153126291,6.638535808,6.900877541,5.649355451,5.40148736,4.145086269,4.168021708
"union_peak_30898",0.222191836,0.145611707,0.119098227,5.743981337,5.77119652,4.079360157,3.797286227,3.06466278,3.063495955
"union_peak_30899",0.105248764,0.056626775,0.085070162,1.942124837,1.952383504,2.266311198,1.81741774,2.056960103,1.85476966
"union_peak_30901",0.198803221,0.097074472,0.085070162,0.541440864,0.957773039,0.689746886,0.700568849,0.696042055,0.78150407
"union_peak_30903",0.105248764,0.121343089,0.042535081,0.823931749,0.847260766,0.604349653,0.58888396,0.820706304,0.92738483
"union_peak_30910",0.140331686,0.299312954,0.187154356,0.871013563,0.834981624,0.538659473,0.771641051,0.384381433,0.364701899
"union_peak_30915",0.233886143,0.218417561,0.28923855,0.85924311,0.896377332,0.70945394,0.680262506,0.644098618,0.552262876
"union_peak_30920",0.152025993,0.064716314,0.034028065,3.225104275,3.659184176,2.246604144,2.213391437,1.516748359,1.542168032
"union_peak_30921",0.3274406,0.275044336,0.195661372,4.755263238,5.439659698,3.967686852,4.315097985,1.651801295,1.385867218
"union_peak_30930",0.058471536,0.016179079,0.042535081,0.835702203,0.699911067,0.571504563,0.781794223,0.186996373,0.07294038
"union_peak_30941",0.070165843,0.056626775,0.068056129,0.753309028,0.908656473,0.696315904,0.629496647,0.425936183,0.395962062
"union_peak_30942",0.093554457,0.080895393,0.051042097,0.765079481,0.749027633,0.42041715,0.324901495,0.384381433,0.343861791
"union_peak_30943",0.128637379,0.485372358,0.501913955,1.88327257,1.866429513,1.248113414,0.984857658,1.049257426,0.687723582
"union_peak_30974",0.128637379,0.129432629,0.025521049,1.624322591,1.313868144,1.234975378,1.28945281,0.560989119,0.604363148
"union_peak_30976",0.152025993,0.080895393,0.119098227,0.929865831,1.068285313,0.74229903,0.751334708,0.425936183,0.677303528
"union_peak_30994",0.257274757,0.250775718,0.229689437,2.036288466,2.799644269,0.893386443,0.599037132,0.488268307,0.500162605
"union_peak_30995",1.204513635,0.744237615,0.518927987,2.883761122,2.971552251,1.97070539,1.797111396,0.997313989,1.198306241
"union_peak_31001",0.1637203,0.048537236,0.042535081,0.741538574,0.871819049,0.597780635,0.558424445,0.43632487,0.625203256
"union_peak_31026",0.748435657,0.655252683,0.348787664,3.366349718,3.057506241,2.758987546,2.243850952,1.599857858,1.365027109
"union_peak_31063",1.917866371,1.917220813,1.794980415,0.670915853,0.699911067,0.400710096,0.355361011,1.360918048,1.500487815
"union_peak_31080",0.222191836,0.307402493,0.212675405,1.977436198,2.210245476,1.694806635,1.431597214,0.945370553,0.969065047
"union_peak_31082",0.24558045,0.169880325,0.059549113,2.695433865,2.529503156,1.740789761,1.533128931,0.820706304,0.864864504
"union_peak_31084",0.105248764,0.307402493,0.306252583,1.094652181,0.933214756,0.610918671,0.436586384,0.664875993,0.427222225
"union_peak_31098",0.3274406,0.242686179,0.127605243,0.823931749,0.785865058,0.716022958,0.802100567,0.799928929,0.812764233
"union_peak_31108",0.08186015,0.137522168,0.025521049,1.683174859,1.68224239,0.348157952,0.436586384,0.363604059,0.21882114
"union_peak_31127",0.08186015,0.145611707,0.102084194,1.200586263,1.129681021,0.525521437,0.82240691,0.207773748,0.364701899
"union_peak_31140",0.666575507,0.792774851,0.75712444,0.035311361,0.073674849,0.03284509,0.040612687,0.145441623,0.135460706
"union_peak_31141",1.906172063,1.569370623,1.633347108,0,0.049116566,0.006569018,0.091378546,0.124664249,0.031260163
"union_peak_31142",2.584441877,2.968860921,2.909399535,0.258949978,0.356095104,0.203639557,0.203063435,0.581766494,0.468902442
"union_peak_31145",0.023388614,0.048537236,0.025521049,0.682686306,0.945493898,0.486107329,0.456892728,0.249328497,0.333441737
"union_peak_31166",2.116669592,2.305518699,1.675882188,0.576752224,0.454328237,0.545228491,0.599037132,1.142755613,1.07326559
"union_peak_31185",0.689964121,0.768506233,0.961292829,0.16478635,0.085953991,0.177363485,0.152297576,0.19738506,0.156300814
"union_peak_31190",1.812617606,1.253878591,1.403657671,0.105934082,0.196466265,0.098535269,0.172603919,0.135052936,0.166720868
"union_peak_31205",0.187108914,0.258865257,0.161633308,1.530158963,1.878708654,1.386062791,1.106695718,1.038868739,1.354607055
"union_peak_31207",0.011694307,0.024268618,0.025521049,0.800390842,0.920935615,0.433555186,0.304595152,0.467490933,0.354281845
"union_peak_31208",0.093554457,0.161790786,0.059549113,0.741538574,0.736748492,0.637194743,0.690415678,0.560989119,0.656463419
"union_peak_31212",0.08186015,0.056626775,0,0.682686306,0.773585916,0.847403318,0.863019597,0.23893981,0.208401085
"union_peak_31238",0.105248764,0.097074472,0.11059121,1.094652181,1.448938701,0.348157952,0.4670459,0.207773748,0.531422768
"union_peak_31240",4.923303305,2.944592303,3.113567924,1.683174859,1.829592088,1.215268324,1.299605981,3.521765025,3.021815738
"union_peak_31244",0.093554457,0.250775718,0.263717502,0.823931749,0.712190209,0.229915629,0.446739556,0.301271934,0.281341465
"union_peak_31248",1.216207942,1.367132141,0.867715651,0.176556803,0.135070557,0.111673305,0.213216606,0.290883247,0.395962062
"union_peak_31275",0.280663371,0.2265071,0.102084194,1.165274902,1.313868144,0.656901797,0.558424445,1.298585924,1.083685644
"union_peak_31276",0.116943071,0.080895393,0.008507016,2.919072483,3.032947958,1.077318946,0.984857658,0.685653368,0.541842822
"union_peak_31277",0.128637379,0.072805854,0.034028065,1.282979438,1.092843596,0.512383401,0.629496647,0.28049456,0.29176152
"union_peak_31297",0.8186015,0.784685312,0.71458936,0.082393175,0.184187123,0.216777593,0.101531717,0.488268307,0.427222225
"union_peak_31329",0.725047043,1.14062504,1.012334926,6.626765354,7.748138306,10.05716651,9.259692617,5.121622883,5.241287298
"union_peak_31334",0.187108914,0.250775718,0.204168388,0.906324924,0.601677935,0.223346611,0.253829293,0.311660622,0.343861791
"union_peak_31345",0.1637203,0.218417561,0.068056129,0.52967041,0.380653387,1.018197785,0.873172769,0.644098618,0.521002714
"union_peak_31351",0.584715357,0.655252683,0.53594202,3.695922418,4.334536961,2.469950755,2.254004124,2.119292228,1.92771004
"union_peak_31363",0.08186015,0.129432629,0.17864734,1.55369987,1.596288399,1.760496815,1.462056729,1.007702677,0.656463419
"union_peak_31369",1.520259928,0.792774851,0.510420971,0.153015896,0.31925768,0.604349653,0.548271273,1.308974611,1.333766947
"union_peak_31384",0.046777229,0.016179079,0,0.871013563,0.847260766,0.348157952,0.23352295,0.093498187,0.062520326
"union_peak_31388",0.105248764,0.129432629,0.085070162,2.048058919,1.584009258,1.622547438,1.726039194,0.592155181,0.531422768
"union_peak_31406",0.467772286,1.011192412,0.774138473,1.129963542,1.154239304,0.177363485,0.274135637,0.47787962,0.448062334
"union_peak_31414",0.210497528,0.2265071,0.238196453,0.729768121,0.785865058,0.597780635,0.548271273,0.540211744,0.437642279
"union_peak_31430",0.877073035,0.550088672,0.433857825,3.295726997,3.671463318,4.000531941,3.878511601,2.337454663,2.625853676
"union_peak_31440",2.023115135,2.216533767,2.18630316,0.411965875,0.270141114,0.229915629,0.345207839,1.049257426,1.250406512
"union_peak_31465",0.233886143,0.34785019,0.35729468,0.965177192,1.326147285,0.512383401,0.629496647,0.290883247,0.323021682
"union_peak_31483",1.824311913,1.253878591,1.156954201,0.69445676,0.454328237,0.525521437,0.395973697,0.758374179,0.739823853
"union_peak_31495",0.292357678,0.097074472,0.170140324,0.918095378,0.834981624,0.650332779,0.832560082,0.831094991,0.63562331
"union_peak_31502",0.795212885,0.91411794,0.561463068,0.176556803,0.171907981,0.216777593,0.131991232,0.363604059,0.354281845
